 <=======================Evaulating=======================>
The evaluation accuracy at epoch 0 is 0.060410031847133755
The cross entropy loss at epoch 0 is 60.945000706411214
The cross entropy loss at epoch 1 is 60.942798828292915
The cross entropy loss at epoch 2 is 60.9427988282928
The cross entropy loss at epoch 3 is 60.9427988282928
The cross entropy loss at epoch 4 is 60.9427988282928
The cross entropy loss at epoch 5 is 60.9427988282928
The cross entropy loss at epoch 6 is 60.9427988282928
The cross entropy loss at epoch 7 is 60.9427988282928
The cross entropy loss at epoch 8 is 60.9427988282928
The cross entropy loss at epoch 9 is 60.9427988282928
